pattern_id,product_model,month,year,avg_daily_orders,peak_daily_orders,low_daily_orders,total_monthly_orders,pattern_type,notes
1,S1 Classic,1,2024,5.2,8,3,161,post_holiday_slump,January slow after Christmas
2,S1 Classic,2,2024,5.8,9,4,168,recovery,Valentine's marketing boost
3,S1 Classic,3,2024,6.5,11,4,202,spring_surge,Weather improving
4,S1 Classic,4,2024,7.2,13,5,216,strong,Good sales month
5,S1 Classic,5,2024,6.8,12,4,211,stable,Consistent demand
6,S1 Classic,6,2024,5.9,10,3,177,summer_dip,Vacation season
7,S1 Classic,7,2024,5.5,9,3,171,summer_low,Lowest summer month
8,S1 Classic,8,2024,6.2,11,4,192,back_to_school,Slight uptick
9,S1 Classic,9,2024,7.8,14,5,234,fall_surge,Strong month
10,S1 Classic,10,2024,8.5,16,6,264,pre_holiday,Building momentum
11,S1 Classic,11,2024,9.2,18,6,276,black_friday_boost,Holiday shopping starts
12,S1 Classic,12,2024,11.8,22,7,366,holiday_peak,TikTok viral + Christmas
13,S2 V2,1,2024,11.5,18,8,357,post_holiday,Strong start
14,S2 V2,2,2024,12.2,19,9,354,stable,Consistent
15,S2 V2,3,2024,13.1,21,9,406,spring,Growing
16,S2 V2,4,2024,13.8,23,10,414,strong,Best seller
17,S2 V2,5,2024,13.2,22,9,409,stable,Steady
18,S2 V2,6,2024,12.0,20,8,360,summer_dip,Vacation
19,S2 V2,7,2024,11.8,19,8,366,summer_low,Slow month
20,S2 V2,8,2024,12.5,21,9,388,recovery,Picking up
21,S2 V2,9,2024,14.2,24,10,426,fall_surge,Strong
22,S2 V2,10,2024,15.1,26,11,468,peak,Excellent month
23,S2 V2,11,2024,14.8,25,10,444,pre_holiday,Holiday prep
24,S2 V2,12,2024,16.5,28,11,512,holiday_peak,Record month
25,S2 Pro,1,2024,3.2,6,2,99,post_holiday,Premium segment
26,S2 Pro,2,2024,3.5,7,2,101,stable,Consistent
27,S2 Pro,3,2024,3.8,8,2,118,spring,Growing
28,S2 Pro,4,2024,4.1,9,3,123,strong,Good
29,S2 Pro,5,2024,3.9,8,2,121,stable,Steady
30,S2 Pro,6,2024,3.3,7,2,99,summer_dip,Vacation
31,S2 Pro,7,2024,3.1,6,2,96,summer_low,Slow
32,S2 Pro,8,2024,3.4,7,2,105,recovery,Back
33,S2 Pro,9,2024,4.2,9,3,126,fall_surge,Strong
34,S2 Pro,10,2024,4.6,10,3,143,peak,Great
35,S2 Pro,11,2024,4.4,9,3,132,pre_holiday,Holiday
36,S2 Pro,12,2024,2.8,6,1,87,competitor_impact,New competitor launch
