material_code,quantity,warehouse_location,last_updated
CTRL-X500,47,MAIN,2024-12-28
BATT-48V,480,MAIN,2024-12-28
FRAME-S1,120,MAIN,2024-12-28
FRAME-S2-V2,85,MAIN,2024-12-28
FRAME-S2-PRO,45,MAIN,2024-12-28
MOTOR-500W,200,MAIN,2024-12-28
MOTOR-750W,95,MAIN,2024-12-28
WHEEL-10IN,320,MAIN,2024-12-28
WHEEL-12IN,180,MAIN,2024-12-28
THROTTLE-ST200,150,MAIN,2024-12-28
BRAKE-1800,450,MAIN,2024-12-28
DISPLAY-LCD,88,MAIN,2024-12-28
CHARGER-48V,220,MAIN,2024-12-28
LIGHTS-KIT,175,MAIN,2024-12-28
SEAT-STD,95,MAIN,2024-12-28
SEAT-PRO,60,MAIN,2024-12-28
FENDER-FR,200,MAIN,2024-12-28
FENDER-RR,185,MAIN,2024-12-28
HANDLEBAR,110,MAIN,2024-12-28
KICKSTAND,300,MAIN,2024-12-28
