po_number,material_code,supplier_name,quantity,unit_price,order_date,expected_delivery,actual_delivery,status
PO4521,CTRL-X500,TechParts GmbH,200,92,2024-11-20,2024-12-30,2025-01-04,delayed
PO4522,BATT-48V,BatteryCo,400,85,2024-11-22,2024-12-28,2024-12-28,delivered
PO4523,FRAME-S2-V2,FrameCo Industries,100,95,2024-11-25,2024-12-27,2024-12-27,delivered
PO4524,MOTOR-500W,MotorMax Ltd,150,120,2024-11-28,2025-01-05,,pending
PO4525,WHEEL-10IN,WheelWorks Inc,300,35,2024-12-01,2025-01-02,,in_transit
PO4526,THROTTLE-ST200,TechParts GmbH,200,28,2024-12-02,2025-01-03,,pending
PO4527,DISPLAY-LCD,TechParts GmbH,100,48,2024-12-05,2025-01-08,,pending
PO4528,BRAKE-1800,BrakeTech Co,500,12,2024-12-08,2024-12-28,2024-12-28,delivered
PO4529,MOTOR-750W,MotorMax Ltd,80,150,2024-12-10,2025-01-12,,pending
PO4530,FRAME-S1,FrameCo Industries,75,87,2024-12-12,2025-01-06,2025-01-10,delayed
PO4531,BATT-48V,BatteryCo,300,88,2024-12-15,2025-01-10,,pending
PO4532,CHARGER-48V,PowerSupply Inc,200,38,2024-12-18,2025-01-08,,pending
PO4533,CTRL-X500,TechParts GmbH,150,98,2024-12-20,2025-01-15,,pending
PO4534,SEAT-PRO,ComfortSeats,50,75,2024-12-22,2025-01-12,,pending
PO4535,LIGHTS-KIT,LightPro,150,22,2024-12-23,2025-01-10,,pending
