variance_id,date,material_code,planned_usage,actual_usage,variance_qty,variance_pct,explanation,flagged
1,2024-12-01,CTRL-X500-V2,285,280,-5,-1.8,Normal variance,FALSE
2,2024-12-15,CTRL-X500-V2,290,295,5,1.7,Slight overusage,FALSE
3,2024-12-20,CTRL-X500-V2,295,370,75,25.4,DEMAND SURGE - TikTok viral,TRUE
4,2024-12-22,CTRL-X500-V2,295,350,55,18.6,Surge continues,TRUE
5,2024-12-01,BATT-48V-20AH,92,95,3,3.3,Normal,FALSE
6,2024-12-15,BATT-48V-20AH,90,88,-2,-2.2,Slight underuse,FALSE
7,2024-12-01,BRAKE-CABLE-REAR,450,465,15,3.3,Normal,FALSE
8,2024-12-15,BRAKE-CABLE-REAR,470,492,22,4.7,Increased production,FALSE
9,2024-12-20,BRAKE-CABLE-REAR,475,540,65,13.7,High production day,TRUE
10,2024-12-29,BRAKE-CABLE-REAR,480,510,30,6.3,Above plan,FALSE
11,2024-12-15,FRAME-S1-CLASSIC,180,192,12,6.7,Higher S1 demand,FALSE
12,2024-12-20,FRAME-S1-CLASSIC,185,168,-17,-9.2,S1 production cut due to parts,TRUE
13,2024-12-01,WHEEL-10-FRONT,275,280,5,1.8,Normal,FALSE
14,2024-12-20,WHEEL-10-FRONT,295,330,35,11.9,S2 surge impact,TRUE
